"pd","t225","t140","t175","t27","t172","t86","t275","t219","t66","t158","t231","t8","t59","t252","t90","t105","t125","t226","t242","t136","t238","t114"
530,0.0124797230625902,0.321901186890509,0.00476565454941201,0.342659843735823,0.00456142399918381,0.00328752266995485,0.0040599798486465,0.0040599798486465,0.0046328873268459,0.00493000722857329,0.283702523355315,0.283702523355314,0.00481573999992011,0.00481573999992011,0.00495879751220575,0.00495879751220575,0.00331140619339677,0.00331140619339677,0.00468494626638722,0.00468494626638722,0.00465504635399108,0.00465504635399107
531,0.0124330730026926,0.321843816696098,0.00474660423855563,0.342625566202516,0.00454295192995996,0.00327256026999113,0.00404293569866266,0.00404293569866266,0.00461420203868704,0.00491047852250153,0.283610671648735,0.283610671648734,0.00479653878320805,0.00479653878320805,0.0049391839238677,0.0049391839238677,0.00329635855932156,0.00329635855932156,0.00466610426082718,0.00466610426082718,0.00463629307049075,0.00463629307049073
532,0.0123866822580652,0.321786559596723,0.0047276652800815,0.342591354677416,0.00452458880563884,0.00325769365289521,0.00402599461964559,0.00402599461964559,0.00459562664257386,0.00489106325029348,0.283519010350477,0.283519010350476,0.00477744960200134,0.00477744960200134,0.00491968414574822,0.00491968414574822,0.00328140714613101,0.00328140714613101,0.00464737285249573,0.00464737285249573,0.00461764999177898,0.00461764999177896
533,0.0123405489209578,0.321729415159591,0.00470883681888906,0.342557208910279,0.0045063337838133,0.00324292202952701,0.00400915579906935,0.00400915579906935,0.00457716029062436,0.00487176054507044,0.283427538717252,0.283427538717251,0.00475847159713191,0.00475847159713191,0.00490029730877937,0.00490029730877937,0.00326655116177319,0.00326655116177319,0.00462875118935847,0.00462875118935847,0.00459911626808077,0.00459911626808074
534,0.0122946711010421,0.321672382954373,0.0046901180080007,0.342523128652278,0.00448818603012381,0.00322824461868724,0.00399241843229389,0.00399241843229389,0.00455880214304206,0.00485256954815591,0.283336256010043,0.283336256010042,0.00473960391758403,0.00473960391758403,0.00488102255211084,0.00488102255211084,0.00325178982216038,0.00325178982216038,0.00461023842749601,0.00461023842749601,0.00458069105772056,0.00458069105772055
535,0.0122490469252225,0.321615462553175,0.00467150800846998,0.342489113655987,0.00447014471816719,0.00321366064702311,0.00397578172247426,0.00397578172247427,0.00454055136802432,0.00483348940898323,0.283245161494069,0.283245161494069,0.00472084572040235,0.00472084572040235,0.0048618590230174,0.0048618590230174,0.00323712235107468,0.00323712235107468,0.00459183373101209,0.00459183373101209,0.00456237352703054,0.00456237352703052
536,0.0122036745374487,0.321558653530532,0.00465300598929094,0.342455163675374,0.00445220902940632,0.00319916934893537,0.00395924488047108,0.00395924488047108,0.00452240714167179,0.00481451928500435,0.283154254438755,0.283154254438754,0.00470219617060097,0.00470219617060097,0.00484280587680759,0.00484280587680759,0.00322254798007467,0.00322254798007467,0.00457353627194278,0.00457353627194278,0.00454416285025989,0.00454416285025986
537,0.0121585520985303,0.321501955463376,0.00463461112730861,0.342421278465792,0.00443437815308103,0.00318476996648651,0.00394280712476201,0.00394280712476201,0.0045043686478991,0.00479565834159972,0.283063534117697,0.283063534117696,0.00468365444107372,0.00468365444107372,0.00482386227673345,0.00482386227673345,0.00320806594840359,0.00320806594840359,0.00455534523016692,0.00455534523016692,0.00452605820948537,0.00452605820948535
538,0.0121136777859553,0.321445367931032,0.00461632260713087,0.342387457783963,0.00441665128612037,0.0031704617493104,0.00392646768135466,0.00392646768135466,0.00448643507834672,0.00477690575198964,0.282972999808633,0.282972999808633,0.00466521971250571,0.00466521971250571,0.00480502739390174,0.00480502739390174,0.00319367550289861,0.00319367550289861,0.00453725979331779,0.00453725979331779,0.00450805879452314,0.00450805879452311
539,0.0120690497937087,0.321388890515188,0.00459813962104119,0.342353701387973,0.00439902763305578,0.00315624395452295,0.00391022578370046,0.00391022578370046,0.00446860563229394,0.00475826069714633,0.282882650793414,0.282882650793413,0.00464689117328593,0.00464689117328593,0.00478630040718601,0.00478630040718601,0.00317937589790138,0.00317937589790138,0.00451927915669584,0.00451927915669584,0.00449016380284153,0.0044901638028415
